@@,itemlabel,item,startdate,enddate
+++,Abel Ignacio Cuevas Melo,Q5654902,2006-09-01,2009-08-31
+++,Abundio Peregrino García,Q5655521,2006-09-01,2009-08-31
+++,Addy Joaquín Coldwell,Q971902,2006-09-01,2009-08-31
+++,Adolfo Escobar Jardinez,,2006-09-01,2009-08-31
+++,Adolfo Mota Hernández,Q5658070,2006-09-01,2009-08-31
+++,Adriana Dávila Fernández,Q16210866,2006-09-01,2009-08-31
+++,Adriana Díaz Contreras,Q5658338,2006-09-01,2009-08-31
+++,Adriana Rebaca Vieyra Olivares,,2006-09-01,2009-08-31
+++,Adriana Rodríguez Vizcarra,,2006-09-01,2009-08-31
+++,Adrián Fernández Cabrera,,2006-09-01,2009-08-31
+++,Adrián Pedrozo Castillo,Q5658579,2006-09-01,2009-08-31
+++,Agustín Mollinedo Hernández,,2006-09-01,2009-08-31
+++,Agustón Leura González,,2006-09-01,2009-08-31
+++,Alan Notholt Guerrero,,2006-09-01,2009-08-31
+++,Alberto Amaro Corona,,2006-09-01,2009-08-31
+++,Alberto Esteva Salinas,,2006-09-01,2009-08-31
+++,Alberto López Rojas,,2006-09-01,2009-08-31
+++,Alberto Vázquez Martínez,,2006-09-01,2009-08-31
+++,Aleida Alavez Ruiz,Q5664630,2006-09-01,2009-08-31
+++,Alejandro Chanona,Q5664878,2006-09-01,2009-08-31
+++,Alejandro Delgado Oscoy,Q5664950,2006-09-01,2009-08-31
+++,Alejandro Landero Gutiérrez,,2006-09-01,2009-08-31
+++,Alejandro Martínez Hernández,,2006-09-01,2009-08-31
+++,Alejandro Olivares,,2006-09-01,2009-08-31
+++,Alejandro Sánchez Camacho,Q5665530,2006-09-01,2009-08-31
+++,Alejandro Sánchez Domínguez,,2006-09-01,2009-08-31
+++,Alfonso Izquierdo Bustamante,Q5666928,2006-09-01,2009-08-31
+++,Alfonso Othón Bello Pérez,,2006-09-01,2009-08-31
+++,Alfredo Barba Hernández,,2006-09-01,2009-08-31
+++,Alfredo Ríos Camarena,,2006-09-01,2009-08-31
+++,Alliet Bautista Bravo,Q16197535,2006-09-01,2009-08-31
+++,Alma Eduviges Alcaraz Hernández,,2006-09-01,2009-08-31
+++,Alma Hilda Medina Macías,,2006-09-01,2009-08-31
+++,Alma Lilia Luna Munguía,,2006-09-01,2009-08-31
+++,Alma Xóchitl Cardona Benavidez,,2006-09-01,2009-08-31
+++,Alonso Lizaola de la Torre,,2006-09-01,2009-08-31
+++,Amador Campos Aburto,,2006-09-01,2009-08-31
+++,Ana María Ramírez Cerda,,2006-09-01,2009-08-31
+++,Ana Teresa Velázquez Beeck,,2006-09-01,2009-08-31
+++,Ana Yurixi Leyva Piñón,,2006-09-01,2009-08-31
+++,Andrés Bermúdez Viramontes,Q2849000,2006-09-01,2009-08-31
+++,Andrés Carballo Bustamante,,2006-09-01,2009-08-31
+++,Andrés Lozano Lozano,Q5675895,2006-09-01,2009-08-31
+++,Angel Deschamps Falcón,Q6173109,2006-09-01,2009-08-31
+++,Antonio Berber Martínez,,2006-09-01,2009-08-31
+++,Antonio Flores Martínez,,2006-09-01,2009-08-31
+++,Antonio Laviada Hernández,,2006-09-01,2009-08-31
+++,Antonio Medellín Varela,,2006-09-01,2009-08-31
+++,Antonio Ortega Martínez,Q5699236,2006-09-01,2009-08-31
+++,Antonio Soto Sánchez,Q5699901,2006-09-01,2009-08-31
+++,Antonio Sánchez Díaz de Rivera,Q5699926,2006-09-01,2009-08-31
+++,Antonio Valladolid Rodríguez,Q2917944,2006-09-01,2009-08-31
+++,Antonio Vasconcelos Rueda,,2006-09-01,2009-08-31
+++,Antonio Vega Corona,,2006-09-01,2009-08-31
+++,Antonio Xavier López Adame,Q5700105,2006-09-01,2009-08-31
+++,Antonio de Jesús Díaz Athié,,2006-09-01,2009-08-31
+++,Antonio del Valle Toca,,2006-09-01,2009-08-31
+++,Anuario Luis Herrera Solís,Q5700611,2006-09-01,2009-08-31
+++,Apolonio Méndez Meneses,Q5701577,2006-09-01,2009-08-31
+++,Aracely Escalante Jasso,Q5702183,2006-09-01,2009-08-31
+++,Arely Madrid Tovilla,Q5703388,2006-09-01,2009-08-31
+++,Ariel Castillo Nájera,,2006-09-01,2009-08-31
+++,Armando Barreiro Pérez,,2006-09-01,2009-08-31
+++,Armando Enríquez Flores,Q8204602,2006-09-01,2009-08-31
+++,Armando Félix Holguín,,2006-09-01,2009-08-31
+++,Armando García Méndez,Q18354046,2006-09-01,2009-08-31
+++,Arnoldo Ochoa González,Q4795351,2006-09-01,2009-08-31
+++,Arnulfo Cordero Alfonzo,,2006-09-01,2009-08-31
+++,Artemio Torres Gómez,,2006-09-01,2009-08-31
+++,Arturo Flores Grande,,2006-09-01,2009-08-31
+++,Arturo Martínez Rocha,,2006-09-01,2009-08-31
+++,Ascensión Orihuela Bárcenas,Q6389576,2006-09-01,2009-08-31
+++,Aurora Cervantes Rodríguez,,2006-09-01,2009-08-31
+++,Aída Marina Arvizu Rivas,Q5715338,2006-09-01,2009-08-31
+++,Beatriz Collado Lara,,2006-09-01,2009-08-31
+++,Beatriz Eugenia García Reyes,,2006-09-01,2009-08-31
+++,Beatriz Pagés Rebollar,Q813308,2006-09-01,2009-08-31
+++,Benjamín González Roaro,Q5726076,2006-09-01,2009-08-31
+++,Benjamín Hernández Silva,,2006-09-01,2009-08-31
+++,Bertha Yolanda Rodríguez Ramírez,,2006-09-01,2009-08-31
+++,Bibiana Rodríguez Montes,,2006-09-01,2009-08-31
+++,Blanca Luna Becerril,,2006-09-01,2009-08-31
+++,Camerino Eleazar Márquez Madrid,,2006-09-01,2009-08-31
+++,Carlos Alberto García González,Q16213521,2006-09-01,2009-08-31
+++,Carlos Alberto Navarro Sugich,,2006-09-01,2009-08-31
+++,Carlos Alberto Torres Torres,,2006-09-01,2009-08-31
+++,Carlos Altamirano Toledo,Q5749652,2006-09-01,2009-08-31
+++,Carlos Armando Biebrich,Q5749726,2006-09-01,2009-08-31
+++,Carlos Augusto Bracho González,,2006-09-01,2009-08-31
+++,Carlos Chaurand,Q5750029,2006-09-01,2009-08-31
+++,Carlos Ernesto Navarro López,Q19518880,2006-09-01,2009-08-31
+++,Carlos Felton González,,2006-09-01,2009-08-31
+++,Carlos Madrazo Limón,Q5750791,2006-09-01,2009-08-31
+++,Carlos Martínez Martínez,,2006-09-01,2009-08-31
+++,Carlos Morales Vázquez,Q5751070,2006-09-01,2009-08-31
+++,Carlos René Sánchez Gil,,2006-09-01,2009-08-31
+++,Carlos Reyes López,Q18209866,2006-09-01,2009-08-31
+++,Carlos Rojas Gutiérrez,Q5751617,2006-09-01,2009-08-31
+++,Carlos Sánchez Barrios,Q18217956,2006-09-01,2009-08-31
+++,Carlos Zatarain González,Q5752151,2006-09-01,2009-08-31
+++,Celso David Pulido Santiago,,2006-09-01,2009-08-31
+++,Cesar Augusto Verástegui Ostos,,2006-09-01,2009-08-31
+++,Christian Martín Lujano Nicolás,Q5767492,2006-09-01,2009-08-31
+++,Claudia Lilia Cruz Santiago,,2006-09-01,2009-08-31
+++,Claudia Sánchez Juárez,,2006-09-01,2009-08-31
+++,Concepción Ojeda Hernández,,2006-09-01,2009-08-31
+++,Constantino Acosta Dávila,,2006-09-01,2009-08-31
+++,Cristián Castaño Contreras,Q5791574,2006-09-01,2009-08-31
+++,Cruz Pérez Cuéllar,Q5792375,2006-09-01,2009-08-31
+++,Cuauhtémoc Sandoval Ramírez,Q5191894,2006-09-01,2009-08-31
+++,Cuauhtémoc Velasco Oliva,Q5793442,2006-09-01,2009-08-31
+++,Cuitláhuac Condado Escamilla,,2006-09-01,2009-08-31
+++,César Camacho Quiroz,Q2280339,2006-09-01,2009-08-31
+++,César Duarte Jáquez,Q959151,2006-09-01,2009-08-31
+++,César Flores Maldonado,Q17274566,2006-09-01,2009-08-31
---,César Mancillas Amador,Q5796295,2009,2012
+++,Daniel Amador Gaxiola,,2006-09-01,2009-08-31
+++,Daniel Chávez García,,2006-09-01,2009-08-31
+++,Daniel Dehesa Mora,,2006-09-01,2009-08-31
+++,Daniel Gurrión Matías,,2006-09-01,2009-08-31
+++,Daniel Ludlow Kuri,Q5798497,2006-09-01,2009-08-31
+++,Daniel Pérez Valdés,,2006-09-01,2009-08-31
+++,Daniel Torres García,,2006-09-01,2009-08-31
+++,David Figueroa Ortega,Q5799984,2006-09-01,2009-08-31
+++,David Lara Compeán,,2006-09-01,2009-08-31
+++,David Maldonado González,Q2889341,2006-09-01,2009-08-31
+++,David Mendoza Arellano,,2006-09-01,2009-08-31
+++,David Sánchez Camacho,Q5240229,2006-09-01,2009-08-31
+++,Daysi Hernández Gaytán,,2006-09-01,2009-08-31
+++,Delber Medina Rodríguez,,2006-09-01,2009-08-31
+++,Delio Hernández Valadés,Q5801852,2006-09-01,2009-08-31
+++,Demetrio Romás Isidoro,,2006-09-01,2009-08-31
+++,Diego Aguilar,,2006-09-01,2009-08-31
+++,Diego Cobo Terrazas,Q5805993,2006-09-01,2009-08-31
+++,Diódoro Carrasco Altamirano,Q2141249,2006-09-01,2009-08-31
+++,Dolores del Socorro Rodríguez Sabido,,2006-09-01,2009-08-31
+++,Dora Alicia Martínez Valero,,2006-09-01,2009-08-31
+++,Edgar Armando Olvera Higuera,Q5817724,2006-09-01,2009-08-31
+++,Edgar Ramírez Pech,,2006-09-01,2009-08-31
+++,Eduardo Espinosa Abuxapqui,Q5819196,2006-09-01,2009-08-31
+++,Eduardo Ortiz Hernández,Q5819514,2006-09-01,2009-08-31
+++,Eduardo Sánchez Hernández,Q5819758,2006-09-01,2009-08-31
+++,Eduardo de la Torre Jaramillo,Q5819166,2006-09-01,2009-08-31
+++,Efraín Arizmendi Uribe,,2006-09-01,2009-08-31
+++,Efraín Morales Sánchez,Q2890018,2006-09-01,2009-08-31
+++,Efraín Peña Damacio,,2006-09-01,2009-08-31
+++,Elda Gómez Lugo,,2006-09-01,2009-08-31
+++,Elia Hernández Núñez,Q18391926,2006-09-01,2009-08-31
+++,Elizabeth Morales García,Q5829679,2006-09-01,2009-08-31
+++,Elmar Díaz Solórzano,,2006-09-01,2009-08-31
+++,Elsa Conde Rodríguez,,2006-09-01,2009-08-31
+++,Elías Cárdenas Márquez,Q5830207,2006-09-01,2009-08-31
+++,Emilio Flores Domínguez,Q5831093,2006-09-01,2009-08-31
+++,Emilio Gamboa Patrón,Q2304052,2006-09-01,2009-08-31
+++,Emilio Ulloa Pérez,Q5831353,2006-09-01,2009-08-31
+++,Enrique Cárdenas del Avellano,Q5833206,2006-09-01,2009-08-31
+++,Enrique Iragorri Durán,,2006-09-01,2009-08-31
+++,Enrique Rodríguez Uresti,,2006-09-01,2009-08-31
+++,Enrique Serrano Escobar,Q5833807,2006-09-01,2009-08-31
+++,Erick López Barriga,,2006-09-01,2009-08-31
+++,Erika Larregui Nagel,,2006-09-01,2009-08-31
+++,Ernesto Javier Gómez Barrales,,2006-09-01,2009-08-31
+++,Ernesto Oviedo Oviedo,,2006-09-01,2009-08-31
+++,Ernesto Ruiz Velazco,,2006-09-01,2009-08-31
+++,Esmeralda Cárdenas Sánchez,Q5839670,2006-09-01,2009-08-31
+++,Fabián Montes Sánchez,,2006-09-01,2009-08-31
+++,Faustino Javier Estrada González,,2006-09-01,2009-08-31
+++,Faustino Soto Ramos,Q18354844,2006-09-01,2009-08-31
+++,Fausto Mendoza Maldonado,,2006-09-01,2009-08-31
+++,Federico Bernal Frausto,,2006-09-01,2009-08-31
+++,Felipe Borrego Estrada,Q5858125,2006-09-01,2009-08-31
+++,Felipe Díaz Garibay,Q5858171,2006-09-01,2009-08-31
+++,Felipe González Ruiz,,2006-09-01,2009-08-31
+++,Fernando Mayans Canabal,Q3069498,2006-09-01,2009-08-31
+++,Fernando Quetzalcoatl Moctezuma Pereda,,2006-09-01,2009-08-31
+++,Fernel Gálvez Rodríguez,,2006-09-01,2009-08-31
+++,Florentina Medrano Echeverría,,2006-09-01,2009-08-31
+++,Francisco Domínguez Servien,Q6436448,2006-09-01,2009-08-31
+++,Francisco Dávila García,Q5865566,2006-09-01,2009-08-31
+++,Francisco Elizondo Garrido,Q18637323,2006-09-01,2009-08-31
+++,Francisco Fraile García,,2006-09-01,2009-08-31
+++,Francisco Javier Calzada Vázquez,Q5866109,2006-09-01,2009-08-31
+++,Francisco Javier Gudiño Ortíz,,2006-09-01,2009-08-31
+++,Francisco Javier Murillo Flores,,2006-09-01,2009-08-31
+++,Francisco Javier Paredes Rodríguez,,2006-09-01,2009-08-31
+++,Francisco Javier Plascencia Alonso,,2006-09-01,2009-08-31
+++,Francisco Martínez Martínez,Q18356045,2006-09-01,2009-08-31
+++,Francisco Márquez Tinoco,,2006-09-01,2009-08-31
+++,Francisco Rueda Gómez,,2006-09-01,2009-08-31
+++,Francisco Santos Arreola,,2006-09-01,2009-08-31
+++,Francisco Sánchez Ramos,,2006-09-01,2009-08-31
+++,Félix Castellanos Hernández,,2006-09-01,2009-08-31
+++,Gerardo Amezola Fonceca,,2006-09-01,2009-08-31
+++,Gerardo Aranda Orozco,,2006-09-01,2009-08-31
->,Gerardo Buganza->Gerardo Buganza Salmerón,Q5550244,2006-09-01,2009-08-31
+++,Gerardo Escaroz Soler,,2006-09-01,2009-08-31
+++,Gerardo Lagunes Gallina,,2006-09-01,2009-08-31
+++,Gerardo Priego Tapia,Q5878366,2006-09-01,2009-08-31
+++,Gerardo Sosa Castelán,Q5878408,2006-09-01,2009-08-31
+++,Gerardo Vargas Landeros,Q18344207,2006-09-01,2009-08-31
->,Gerardo Villanueva Albarrán,Q5878421,2006-09-01,2009-02-28->2009-08-31
+++,Gilberto Ojeda Camacho,,2006-09-01,2009-08-31
+++,Gloria Lavara Mejía,Q5881280,2006-09-01,2009-08-31
+++,Gloria Leticia González Rivera,,2006-09-01,2009-08-31
+++,Gloria Rasgado Corsi,,2006-09-01,2009-08-31
+++,Gregorio Barradas Miravete,Q5606713,2006-09-01,2009-08-31
+++,Guadalupe Flores Salazar,,2006-09-01,2009-08-31
+++,Guillermina López Balbuena,,2006-09-01,2009-08-31
+++,Gustavo Caballero Camargo,,2006-09-01,2009-08-31
+++,Gustavo Cárdenas Gutiérrez,Q5889579,2006-09-01,2009-08-31
+++,Gustavo Macías Zambrano,Q18347687,2006-09-01,2009-08-31
+++,Gustavo Mendívil Amparán,,2006-09-01,2009-08-31
+++,Gustavo Parra Noriega,Q5889781,2006-09-01,2009-08-31
+++,Gustavo Ramírez Villarreal,,2006-09-01,2009-08-31
+++,Higinio Chávez García,,2006-09-01,2009-08-31
+++,Holly Matus Toledo,,2006-09-01,2009-08-31
+++,Horacio Garza Garza,Q5902370,2006-09-01,2009-08-31
+++,Hugo Eduardo Martínez Padilla,Q5904466,2006-09-01,2009-08-31
+++,Humberto Alonso Razo,,2006-09-01,2009-08-31
+++,Humberto Dávila Esquivel,,2006-09-01,2009-08-31
+++,Humberto López Lena,Q5904938,2006-09-01,2009-08-31
+++,Héctor Hugo Olivares Ventura,Q5906212,2006-09-01,2009-08-31
+++,Héctor Larios Córdova,Q5649067,2006-09-01,2009-08-31
+++,Héctor Manuel Ramos Covarrubias,,2006-09-01,2009-08-31
+++,Héctor Narcía Álvarez,,2006-09-01,2009-08-31
+++,Héctor Padilla Gutiérrez,,2006-09-01,2009-08-31
+++,Irena Aragón Castillo,,2006-09-01,2009-08-31
+++,Irineo Mendoza Mendoza,,2006-09-01,2009-08-31
+++,Irma Piñeiro Arias,,2006-09-01,2009-08-31
+++,Isael Villa Villa,Q5574061,2006-09-01,2009-08-31
+++,Isidro Pedraza Chávez,Q16191015,2006-09-01,2009-08-31
+++,Ismael Ordaz Jiménez,,2006-09-01,2009-08-31
+++,Israel Beltrán Montes,Q5922865,2006-09-01,2009-08-31
+++,Jacinto Gómez Pasillas,Q5924180,2006-09-01,2009-08-31
+++,Jaime Cervantes Rivera,Q5924970,2006-09-01,2009-08-31
+++,Jaime Espejel Lascano,,2006-09-01,2009-08-31
+++,Jaime Verdin Saldaña,,2006-09-01,2009-08-31
+++,Javier Bolaños Aguilar,Q18684875,2006-09-01,2009-08-31
+++,Javier González Garza,Q5927795,2006-09-01,2009-08-31
+++,Javier Guerrero García,Q5927812,2006-09-01,2009-08-31
+++,Javier Hernández Manzanares,,2006-09-01,2009-08-31
+++,Javier Zambrano Elizondo,,2006-09-01,2009-08-31
+++,Jericó Abramo Masso,Q5929347,2006-09-01,2009-08-31
+++,Jesús Alcántara Núñez,Q18249288,2006-09-01,2009-08-31
+++,Jesús Arredondo Velázquez,,2006-09-01,2009-08-31
+++,Jesús Evodio Velázquez Aguirre,Q18354365,2006-09-01,2009-08-31
+++,Jesús Humberto Zazueta Aguilar,Q5930230,2006-09-01,2009-08-31
+++,Jesús Manuel Patrón Montalvo,,2006-09-01,2009-08-31
+++,Jesús Ramírez Stabros,Q5930570,2006-09-01,2009-08-31
+++,Jesús Reyna García,Q5930586,2006-09-01,2009-08-31
+++,Jesús Vicente Flores Morfín,,2006-09-01,2009-08-31
+++,Jesús de León Tello,Q5930807,2006-09-01,2009-08-31
+++,Joaquín Díaz Mena,Q5931901,2006-09-01,2009-08-31
+++,Joaquín Humberto Vela González,,2006-09-01,2009-08-31
+++,Joaquín de los Santos Molina,,2006-09-01,2009-08-31
+++,Joel Arellano Arellano,,2006-09-01,2009-08-31
+++,Joel Ayala,Q5932725,2006-09-01,2009-08-31
+++,Joel Guerrero Juárez,,2006-09-01,2009-08-31
+++,Jorge Emilio González Martínez,Q3301658,2006-09-01,2009-08-31
+++,Jorge Estefan Chidiac,Q5935014,2006-09-01,2009-08-31
+++,Jorge Godoy Cárdenas,,2006-09-01,2009-08-31
+++,Jorge Justiniano González Betancourt,,2006-09-01,2009-08-31
+++,Jorge Luis De la Garza Treviño,,2006-09-01,2009-08-31
+++,Jorge Mario Lescieur Talavera,,2006-09-01,2009-08-31
+++,Jorge Nordhausen González,,2006-09-01,2009-08-31
+++,Jorge Quintero Bello,,2006-09-01,2009-08-31
